Username (Account ID),State,District,Area,Median No of transactions ,Average No of transactions ,lowestof trans,Median Amount,Average Amount,lowestof amount,TYPE,Gender,Active,Blocked,Suspended,Unused Balance,NO OF DAYS SINCE LAST DEPOSIT ,NO OF DAYS SINCE device creation,NO OF DAYS SINCE onboarded,Status,Status2
HENRIETTA001 (000373),Lagos,Ojo,Iyana Iba,2670,2097,2097,21175510,15857926,15857926,Regular,Female,Yes,No,No,-1200,39,42,1805,bad,bad
YJSComputers (006242),Federal Capital Territory,Durumi District,Durumi,785,890,785,7597240,10136475,7597240,Regular,Male,Yes,No,No,7371.52671,16,1040,1040,good,good
MojrayOct1 (006016),Lagos,Ibeju-Lekki,Lekki,985,1003,985,16169895,16037493,16037493,Regular,Male,Yes,No,No,142846.9972,0,1061,1061,good,bad
AmazaPos (013035),Gombe,Gombe,0,935,976,935,21381095,20713612,20713612,Regular,Male,Yes,No,No,39445.984,53,490,490,good,good
Angelicpos (013509),Lagos,Ojo,Iba,1348,1401,1348,16016225,15898432,15898432,Regular,Male,Yes,No,No,18047.2384,2,496,496,good,bad
Ahmedfally (003692),Lagos,Kosofe,Ketu,1643,1320,1320,20279645,16416228,16416228,Regular,Male,Yes,No,No,149567.7016,0,1298,1298,good,bad
Bishop346pos1 (013250),Lagos,Festac1,23 Road Stretch,1566,1364,1364,17909695,16809808,16809808,Regular,Female,Yes,No,No,742885.365,3,503,503,good,bad
cyocommpos1 (020603),Delta,Aniocha north,Onicha-Uku,1257,1032,1032,6145400,9494923,6145400,Regular,Male,Yes,No,No,607.47,1,279,279,good,bad
SixtusPos (015959),Imo,Orsu,Awo Idemili,565,418,418,11848820,8897121,8897121,Regular,Male,Yes,No,No,-2853.3,278,465,465,bad,bad
yalwaventure (006029),Abia,Umuahia North,Umuahia,1370,1247,1247,16209060,14146050,14146050,Regular,Male,Yes,No,No,169.25,68,1057,1057,good,good
Lawancomm2 (020072),Federal Capital Territory,Gwagwalada,Gwagwalada,1859,1817,1817,17845790,18449844,17845790,Regular,Male,Yes,No,No,3083.92857,2,305,305,good,bad
Obianaappos (013174),Lagos,Surulere,Masha,1767,1726,1726,16570586,15309297,15309297,Regular,Male,Yes,No,No,-157.04657,49,502,502,bad,bad
paypoint (002577),Lagos,Lagos Island,Ikoyi,631,640,631,16340355,16927814,16340355,Regular,Male,Yes,No,No,10817.788,0,1336,1336,good,bad
Divineanchor45 (002354),Lagos,Alimosho 1,Isheri,292,278,278,6611723,6887634,6611723,Regular,Female,Yes,No,No,34714.9715,2,1424,1424,good,bad
FAITHVENTURES2 (005509),Lagos,Apapa,Apapa,22,595,22,104520,6648087,104520,Regular,Male,Yes,No,No,-264.24371,112,1132,1132,bad,bad
Akinfakopos (012424),Lagos,Lagos Island,Ajah,1331,1160,1160,12995750,11323819,11323819,Regular,Female,Yes,No,No,-359.17822,16,495,495,bad,bad
Akannijpos (011852),Lagos,Lagos Isl. East,0,1020,998,998,17076115,17660131,17076115,Regular,Female,Yes,No,No,97559.642,2,551,551,good,bad
YadumaMultitrade (004534),Bornu,Maiduguri,0,20,384,20,610400,7295674,610400,Regular,Male,Yes,No,No,-2002.08733,44095,1237,1237,bad,bad
Ejiropos4 (013139),Lagos,Ojo,Iba,1736,1658,1658,13943492,13266930,13266930,Regular,Female,Yes,No,No,350339.691,3,502,502,good,bad
Idokopeterpos (019946),Anambra,Onitsha North,Main Market,546,614,546,6337580,6895354,6337580,Regular,Male,Yes,No,No,54234.875,2,312,312,good,bad
Adekazventurespos1 (016351),Ogun,Ifo,0,933,1269,933,9770285,10430318,9770285,Regular,Male,Yes,No,No,144071.2,108,460,460,good,good
Ahotonpos (012855),Lagos,Badagry,Mowo,2268,2381,2268,38744844,34219136,34219136,Regular,Male,Yes,No,No,929.56912,3,503,503,good,bad
Rayfunbeck2 (002004),Lagos,Apapa,Ajeromi,1162,1080,1080,13412829,13087733,13087733,Regular,Male,Yes,No,No,395605.574,0,1460,1460,good,bad
MSCDPlaza (005390),Kano,Gwale,Bafin,0,267,0,0,2801410,0,Regular,Male,Yes,No,No,-5198.405,202,1141,1141,bad,bad
Boyepos (011841),Lagos,Badagry,Badagry,2765,2657,2657,11026435,10837705,10837705,Regular,Female,Yes,No,No,592.2875,0,551,551,good,bad
SABIMEN3106 (015375),Rivers,Port Harcourt,Diobu/Mile 1-3,0,599,0,0,4730996,0,Regular,Female,Yes,No,No,20000.25,183,460,460,bad,bad
TOMPETPOS (008698),Anambra,Onitsha North,Boromi,319,406,319,1991500,3646706,1991500,Regular,Male,Yes,No,No,-1966.325,101,700,700,bad,bad
MUDIONPOS (016344),Delta,Isoko north,Ozoro,101,1369,101,442179,5940542,442179,Regular,Male,Yes,No,No,-189.8975,169,460,460,bad,bad
Eventures (004021),Lagos,Alimosho 1,Ipaja,0,326,0,0,2787747,0,Regular,Male,Yes,No,No,-5995.14129,360,1279,1279,bad,bad
BernicePos (008839),Lagos,Apapa,Kirikiri,708,641,641,14513950,13231407,13231407,Regular,Female,Yes,No,No,15089.34,5,697,697,good,bad
Adaora3 (004126),Lagos,Badagry,Agbara,1778,1886,1778,12546445,11700514,11700514,Regular,Female,Yes,No,No,370933,0,791,1274,good,bad
Risolapos (011767),Lagos,Ojo,Iyana shasi,2607,2456,2456,37629870,34116091,34116091,Regular,Female,Yes,No,No,169735.2797,12,552,552,good,good
OjoPos (013310),Lagos,Ibeju-Lekki,Ajah,597,698,597,6057010,6267646,6057010,Regular,Male,Yes,No,No,150166.555,0,503,503,good,bad
Yusphatventures3 (006089),Lagos,Kosofe,Ketu,2621,2593,2593,17792170,18772557,17792170,Regular,Male,Yes,No,No,224879.3432,18,1054,1054,good,good
Lauobeh6 (012516),Lagos,Ojo,Iyana shasi,1453,1421,1421,12784295,12936210,12784295,Regular,Male,Yes,No,No,151070.85,0,531,531,good,bad
Blossy (004293),Lagos,Ojo,Shibiri,13,14,13,3491600,4051263,3491600,Regular,Female,Yes,No,No,-161.725,10,1259,1259,bad,bad
